user,time_stamp,btag,cate,brand
558157,1493741625,pv,6250,91286
558157,1493741626,pv,6250,91286
558157,1493741627,pv,6250,91286
728690,1493776998,pv,11800,62353
332634,1493809895,pv,1101,365477
857237,1493816945,pv,1043,110616
619381,1493774638,pv,385,428950
467042,1493772641,pv,8237,301299
467042,1493772644,pv,8237,301299
991528,1493780710,pv,7270,274795
991528,1493780712,pv,7270,274795
991528,1493780714,pv,7270,274795
991528,1493780765,pv,7270,274795
991528,1493780764,pv,7270,274795
991528,1493780633,pv,7270,274795
991528,1493780661,pv,7270,274795
991528,1493780707,pv,7270,274795
569051,1493825225,pv,6162,321565
609935,1493793815,pv,11714,450662
609935,1493793801,pv,11714,450662
791163,1493756004,pv,9361,217181
903245,1493779460,pv,7363,79122
581644,1493764064,pv,8723,182557
840457,1493741837,cart,2155,355993
840457,1493741844,cart,2155,355993
840457,1493741847,pv,2155,355993
840457,1493741862,pv,2155,355993
840457,1493741851,pv,2155,355993
840457,1493741850,pv,2155,355993
840457,1493742163,pv,2155,355993
840457,1493741829,pv,2155,355993
832679,1493779415,pv,5515,245576
832679,1493779468,pv,5515,245576
832679,1493810640,pv,5515,245576
832679,1493776857,pv,5515,245576
832679,1493779300,pv,5515,245576
832679,1493776906,fav,5515,245576
75418,1493815029,pv,7651,363402
619177,1493808690,pv,4806,59391
527538,1493822429,pv,6407,172241
916958,1493811221,pv,123,97176
916958,1493811177,pv,123,97176
916958,1493811509,pv,123,97176
916958,1493811208,pv,123,97176
916958,1493811770,pv,123,97176
916958,1493811479,pv,123,97176
916958,1493811673,buy,123,97176
916958,1493811809,buy,123,97176
626574,1493744427,pv,123,97176
814066,1493788803,pv,123,97176
308688,1493820198,pv,6408,258638
431064,1493787631,pv,5858,402171
431064,1493787842,pv,5858,402171
431064,1493787847,pv,5858,402171
431064,1493787872,pv,5858,402171
431064,1493787874,pv,5858,402171
431064,1493788578,pv,5858,402171
431064,1493789326,pv,5858,402171
431064,1493789760,pv,5858,402171
431064,1493787849,pv,5858,402171
431064,1493789775,pv,5858,402171
431064,1493789982,pv,5858,402171
431064,1493786994,pv,5858,402171
431064,1493787015,pv,5858,402171
431064,1493787072,pv,5858,402171
431064,1493787171,pv,5858,402171
431064,1493787203,pv,5858,402171
662531,1493803491,pv,5858,402171
707072,1493804006,pv,10805,198781
278757,1493741011,pv,6050,394609
962111,1493816123,pv,5924,431910
276507,1493805416,pv,6571,101331
218729,1493818396,pv,6571,101331
443793,1493766009,pv,6056,101331
443793,1493798077,pv,6056,101331
764675,1493797657,pv,6056,101331
764675,1493797664,pv,6056,101331
843425,1493776501,pv,6056,101331
1093365,1493797244,pv,6056,101331
1093365,1493797227,pv,6056,101331
1093365,1493824491,pv,6056,101331
1093365,1493824549,pv,6056,101331
885384,1493795275,pv,6056,101331
796539,1493797778,pv,6056,101331
451809,1493823093,pv,6056,101331
954994,1493779790,pv,6056,101331
778306,1493740890,pv,2468,352284
778306,1493740932,pv,2468,352284
778306,1493740925,pv,2468,352284
778306,1493740920,pv,2468,352284
794800,1493795817,pv,7230,249297
439656,1493796543,pv,9384,456563
439656,1493795793,pv,9384,456563
439656,1493796531,pv,9384,456563
439656,1493796561,pv,9384,456563
439656,1493796533,pv,9384,456563
916875,1493768055,pv,877,416327
64217,1493805280,pv,6721,86641
566727,1493786897,pv,6721,86641
566727,1493786771,pv,6721,86641
566727,1493786819,pv,6721,86641
657982,1493779442,pv,6721,86641
657982,1493779473,pv,6721,86641
657982,1493797614,pv,6721,86641
657982,1493779825,pv,6721,86641
657982,1493779517,pv,6721,86641
657982,1493779476,pv,6721,86641
657982,1493779394,pv,6721,86641
657982,1493779402,pv,6721,86641
657982,1493779411,pv,6721,86641
657982,1493779424,pv,6721,86641
657982,1493779431,pv,6721,86641
657982,1493779440,pv,6721,86641
936856,1493816529,pv,6739,375839
936856,1493816521,pv,6739,375839
936856,1493816530,pv,6739,375839
456257,1493805891,pv,6739,375839
434960,1493815022,pv,6739,375839
434960,1493815057,pv,6739,375839
434960,1493815058,pv,6739,375839
434960,1493815026,pv,6739,375839
1075843,1493813795,pv,6739,375839
612901,1493819984,pv,7363,454006
95085,1493822768,cart,10076,78067
95085,1493822782,pv,10076,78067
95085,1493822772,pv,10076,78067
95085,1493822775,pv,10076,78067
95085,1493822779,pv,10076,78067
95085,1493822781,pv,10076,78067
95085,1493822769,pv,10076,78067
95085,1493822780,pv,10076,78067
640910,1493793659,pv,123,97176
640910,1493793655,pv,123,97176
640910,1493793648,pv,123,97176
89657,1493777249,pv,581,320460
89657,1493777253,pv,581,320460
89657,1493778045,pv,581,320460
89657,1493778050,pv,581,320460
89657,1493778051,pv,581,320460
89657,1493778053,pv,581,320460
89657,1493778102,pv,581,320460
89657,1493778220,pv,581,320460
89657,1493778200,pv,581,320460
89657,1493778116,pv,581,320460
89657,1493777236,pv,581,320460
89657,1493777240,pv,581,320460
89657,1493777245,pv,581,320460
906655,1493801829,pv,6964,34562
291646,1493808576,pv,6543,430000
752731,1493812726,pv,6543,430000
898693,1493813304,pv,6543,430000
334313,1493811681,pv,6543,430000
714624,1493786250,pv,472,113268
714624,1493786246,pv,472,113268
714624,1493786243,pv,472,113268
714624,1493786232,pv,472,113268
714624,1493786236,pv,472,113268
714624,1493787656,pv,472,113268
791838,1493791720,pv,7001,324341
436581,1493813116,pv,4587,158673
436581,1493813290,pv,4587,158673
436581,1493813246,pv,4587,158673
436581,1493805538,pv,4587,158673
