user,time_stamp,adgroup_id,pid,nonclk,clk
581738,1494137644,1,430548_1007,1,0
449818,1494638778,3,430548_1007,1,0
914836,1494650879,4,430548_1007,1,0
914836,1494651029,5,430548_1007,1,0
399907,1494302958,8,430548_1007,1,0
628137,1494524935,9,430548_1007,1,0
298139,1494462593,9,430539_1007,1,0
775475,1494561036,9,430548_1007,1,0
555266,1494307136,11,430539_1007,1,0
117840,1494036743,11,430548_1007,1,0
739815,1494115387,11,430539_1007,1,0
623911,1494625301,11,430548_1007,1,0
623911,1494451608,11,430548_1007,1,0
421590,1494034144,11,430548_1007,1,0
976358,1494156949,13,430548_1007,1,0
286630,1494218579,13,430539_1007,1,0
286630,1494289247,13,430539_1007,1,0
771431,1494153867,13,430548_1007,1,0
707120,1494220810,13,430548_1007,1,0
530454,1494293746,13,430548_1007,1,0
212552,1494568857,13,430548_1007,1,0
812839,1494311176,13,430539_1007,1,0
251948,1494281673,13,430539_1007,1,0
560492,1494545239,13,430539_1007,1,0
384206,1494475741,13,430539_1007,1,0
251948,1494540717,13,430539_1007,1,0
866880,1494124396,13,430548_1007,1,0
1065947,1494054790,15,430539_1007,1,0
243365,1494132756,28,430548_1007,1,0
696122,1494555943,37,430548_1007,1,0
826763,1494306022,38,430539_1007,1,0
357293,1494596656,38,430548_1007,1,0
329004,1494079767,38,430548_1007,1,0
26279,1494478631,38,430539_1007,1,0
789015,1494337759,38,430539_1007,1,0
237042,1494485187,38,430548_1007,1,0
368892,1494248485,38,430539_1007,1,0
621099,1494334324,38,430548_1007,1,0
940360,1494381318,38,430548_1007,1,0
770798,1494387236,38,430548_1007,1,0
992212,1494420792,38,430539_1007,1,0
36923,1494402685,38,430539_1007,1,0
36923,1494080687,38,430539_1007,1,0
576962,1494079060,38,430548_1007,1,0
770798,1494598071,38,430548_1007,1,0
390805,1494158605,38,430548_1007,1,0
791166,1494566699,39,430539_1007,1,0
456470,1494286805,46,430548_1007,1,0
199003,1494047474,46,430539_1007,1,0
669432,1494471085,47,430548_1007,1,0
669432,1494504547,47,430548_1007,1,0
68522,1494055326,49,430548_1007,1,0
68522,1494037407,49,430548_1007,1,0
206767,1494222577,54,430548_1007,1,0
1104240,1494082886,57,430548_1007,1,0
504685,1494560966,58,430548_1007,1,0
310639,1494507064,59,430539_1007,1,0
678379,1494079172,59,430539_1007,1,0
60597,1494609285,60,430548_1007,1,0
183387,1494047831,60,430548_1007,1,0
183387,1494077875,60,430548_1007,1,0
183387,1494072070,60,430548_1007,1,0
720856,1494146503,60,430539_1007,1,0
628285,1494372559,60,430539_1007,1,0
122266,1494584075,60,430548_1007,1,0
766690,1494655778,60,430539_1007,1,0
494196,1494666963,64,430548_1007,1,0
520687,1494632772,70,430548_1007,1,0
893779,1494643033,76,430539_1007,1,0
826133,1494686707,76,430539_1007,1,0
957050,1494599732,76,430539_1007,1,0
668765,1494076114,79,430548_1007,1,0
392643,1494391982,81,430548_1007,1,0
354780,1494400215,82,430539_1007,1,0
10772,1494393723,85,430548_1007,1,0
563874,1494468661,85,430548_1007,1,0
683451,1494229042,85,430539_1007,1,0
843030,1494294637,85,430548_1007,1,0
53386,1494668330,85,430539_1007,1,0
260082,1494304209,91,430548_1007,1,0
648738,1494488556,91,430548_1007,1,0
808334,1494310890,92,430548_1007,1,0
95460,1494484491,92,430548_1007,1,0
918382,1494285682,102,430539_1007,1,0
972042,1494664136,102,430539_1007,1,0
378262,1494325707,102,430539_1007,1,0
738208,1494198871,102,430548_1007,1,0
878047,1494510483,102,430539_1007,1,0
749715,1494061994,102,430539_1007,1,0
378262,1494682015,102,430539_1007,1,0
114993,1494559330,102,430539_1007,1,0
974392,1494239695,102,430539_1007,1,0
642854,1494264162,102,430539_1007,0,1
443793,1494155701,102,430539_1007,0,1
642854,1494474246,102,430539_1007,1,0
443793,1494496413,102,430539_1007,1,0
872834,1494303087,102,430539_1007,1,0
644063,1494632747,102,430548_1007,1,0
618501,1494655235,102,430539_1007,1,0
416214,1494389576,102,430539_1007,1,0
914080,1494586728,102,430539_1007,1,0
914080,1494330083,102,430539_1007,1,0
415870,1494396737,102,430539_1007,1,0
695684,1494588799,102,430539_1007,1,0
165841,1494486520,102,430539_1007,1,0
567226,1494545585,102,430539_1007,1,0
190272,1494641392,102,430539_1007,1,0
718405,1494676111,102,430539_1007,1,0
718405,1494289938,102,430539_1007,1,0
718405,1494070463,102,430539_1007,1,0
859607,1494667601,102,430539_1007,1,0
859607,1494039802,102,430539_1007,1,0
633475,1494412456,102,430539_1007,1,0
593147,1494365404,102,430539_1007,1,0
593147,1494621663,102,430539_1007,1,0
167978,1494663618,102,430539_1007,1,0
389494,1494319492,102,430548_1007,1,0
918382,1494553200,102,430539_1007,1,0
132831,1494508231,102,430539_1007,1,0
167978,1494665419,102,430539_1007,1,0
633475,1494121155,102,430539_1007,1,0
810283,1494647579,102,430548_1007,1,0
810283,1494392156,102,430548_1007,1,0
1049640,1494135812,102,430548_1007,1,0
968165,1494551681,102,430539_1007,1,0
1099979,1494057069,102,430539_1007,1,0
541031,1494635692,102,430539_1007,1,0
477776,1494185149,102,430548_1007,1,0
895515,1494148440,102,430539_1007,1,0
1620,1494055233,102,430539_1007,1,0
106567,1494221520,102,430548_1007,1,0
1620,1494283409,102,430539_1007,1,0
284898,1494609520,102,430548_1007,1,0
843459,1494004153,102,430539_1007,1,0
1620,1494648296,102,430539_1007,1,0
653256,1494373224,102,430539_1007,1,0
1022975,1494659136,102,430539_1007,1,0
1022975,1494329049,102,430539_1007,1,0
379823,1494278927,102,430539_1007,1,0
740169,1494334943,102,430539_1007,1,0
59252,1494209588,102,430539_1007,1,0
370072,1494655732,102,430539_1007,1,0
258492,1494158910,102,430539_1007,1,0
1062314,1494080045,102,430539_1007,1,0
1062314,1494383861,102,430539_1007,1,0
1062314,1494586467,102,430539_1007,1,0
508760,1494564116,102,430548_1007,1,0
856037,1494561852,102,430539_1007,1,0
740042,1494632158,102,430539_1007,1,0
305542,1494163765,102,430539_1007,1,0
739740,1494369031,102,430539_1007,1,0
782351,1494234723,102,430548_1007,1,0
278361,1494182478,102,430539_1007,1,0
909001,1494639542,102,430539_1007,1,0
699134,1494219720,102,430548_1007,1,0
699748,1494150771,102,430548_1007,1,0
357442,1494478801,102,430539_1007,1,0
738208,1494681355,102,430548_1007,1,0
114993,1494302327,102,430539_1007,1,0
825977,1494568543,102,430539_1007,1,0
825977,1494249745,102,430539_1007,1,0
61628,1494237170,102,430539_1007,1,0
355080,1494492568,102,430539_1007,0,1
355080,1494287047,102,430539_1007,1,0
61628,1494554784,102,430539_1007,1,0
1051120,1494364955,102,430548_1007,1,0
456530,1494641590,102,430539_1007,1,0
642744,1494394323,102,430539_1007,1,0
963330,1494372158,102,430539_1007,1,0
715598,1494174916,102,430539_1007,1,0
57185,1494078793,102,430539_1007,1,0
57185,1494605779,102,430539_1007,1,0
743980,1494471779,102,430539_1007,1,0
269887,1494212870,102,430539_1007,1,0
1083384,1494103235,102,430548_1007,1,0
