userid,cms_segid,cms_group_id,final_gender_code,age_level,pvalue_level,shopping_level,occupation,new_user_class_level 
523,5,2,2,2,1.0,3,1,2.0
3644,49,6,2,6,2.0,3,0,2.0
5777,44,5,2,5,2.0,3,0,2.0
6355,2,1,2,1,1.0,3,0,4.0
6823,43,5,2,5,2.0,3,0,1.0
6972,5,2,2,2,2.0,3,1,2.0
9510,55,8,1,2,2.0,2,0,2.0
10122,33,4,2,4,2.0,3,0,2.0
11256,8,2,2,2,1.0,3,0,3.0
11310,31,4,2,4,1.0,3,0,4.0
11739,20,3,2,3,2.0,3,0,4.0
12549,33,4,2,4,2.0,3,0,2.0
15347,20,3,2,3,2.0,3,0,3.0
15455,8,2,2,2,2.0,3,0,3.0
16749,5,2,2,2,1.0,3,1,4.0
17280,20,3,2,3,2.0,3,0,4.0
19936,33,4,2,4,2.0,3,0,2.0
20406,81,10,1,4,2.0,3,0,3.0
23538,30,4,2,4,1.0,3,0,1.0
24256,5,2,2,2,1.0,3,1,3.0
24823,89,11,1,5,1.0,3,0,3.0
25326,17,3,2,3,1.0,3,0,3.0
27534,49,6,2,6,1.0,3,0,2.0
32262,30,4,2,4,1.0,3,0,1.0
33828,17,3,2,3,1.0,3,0,3.0
34399,19,3,2,3,2.0,3,0,2.0
34400,18,3,2,3,2.0,3,0,1.0
34499,78,10,1,4,1.0,3,0,4.0
34795,8,2,2,2,2.0,3,0,3.0
34796,20,3,2,3,2.0,3,0,4.0
35828,89,11,1,5,1.0,3,0,4.0
36569,57,8,1,2,2.0,3,0,4.0
37281,56,8,1,2,1.0,3,0,2.0
37319,8,2,2,2,2.0,3,0,3.0
38117,34,4,2,4,3.0,3,0,4.0
38602,16,3,2,3,1.0,3,0,2.0
39921,20,3,2,3,2.0,3,0,3.0
40531,7,2,2,2,1.0,3,0,2.0
41143,7,2,2,2,1.0,3,0,2.0
42701,7,2,2,2,1.0,3,0,2.0
43862,32,4,2,4,2.0,3,0,1.0
46392,44,5,2,5,2.0,3,0,2.0
48515,5,2,2,2,1.0,3,1,2.0
48668,32,4,2,4,2.0,3,0,1.0
49127,7,2,2,2,1.0,3,0,2.0
49479,66,9,1,3,2.0,3,0,2.0
51684,49,6,2,6,1.0,3,0,1.0
54080,5,2,2,2,2.0,3,1,2.0
56031,34,4,2,4,2.0,3,0,3.0
56860,7,2,2,2,2.0,3,0,2.0
57390,7,2,2,2,1.0,3,0,1.0
59454,66,9,1,3,2.0,3,0,2.0
59475,66,9,1,3,2.0,3,0,2.0
59549,91,11,1,5,2.0,3,0,2.0
61426,45,5,2,5,2.0,3,0,3.0
61525,56,8,1,2,2.0,3,0,2.0
64042,19,3,2,3,2.0,3,0,2.0
64788,49,6,2,6,3.0,3,0,2.0
65378,61,9,1,3,1.0,2,0,3.0
66124,34,4,2,4,2.0,3,0,4.0
70756,8,2,2,2,1.0,3,0,4.0
73581,57,8,1,2,2.0,3,0,3.0
73914,7,2,2,2,1.0,3,0,2.0
74638,34,4,2,4,2.0,3,0,4.0
75863,19,3,2,3,2.0,3,0,2.0
77078,67,9,1,3,2.0,3,0,4.0
78091,38,5,2,5,2.0,2,0,4.0
78303,17,3,2,3,1.0,3,0,4.0
78893,7,2,2,2,2.0,3,0,2.0
78905,7,2,2,2,2.0,3,0,2.0
80515,44,5,2,5,2.0,3,0,2.0
81110,19,3,2,3,2.0,3,0,2.0
81279,92,11,1,5,2.0,3,0,4.0
85876,44,5,2,5,2.0,3,0,2.0
88294,34,4,2,4,2.0,3,0,4.0
88531,8,2,2,2,1.0,3,0,3.0
89520,31,4,2,4,1.0,3,0,3.0
93001,42,5,2,5,1.0,3,0,3.0
93263,8,2,2,2,1.0,3,0,4.0
94564,57,8,1,2,2.0,3,0,4.0
94950,7,2,2,2,2.0,3,0,2.0
95286,7,2,2,2,2.0,3,0,2.0
95979,7,2,2,2,2.0,3,0,2.0
